radlex_code,preferred_description
RID48524,space of superficial part of posterior compartment of leg
RID36083,left inferior temporal retinal vein
RID10551,KERMA area product
RID20321,gray matter of left anterior transverse temporal gyrus
RID14082,middle part of left precentral gyrus
RID40858,transverse band of right elbow joint
RID14439,nerve to right stylohyoid
RID41729,articular cartilage of proximal epiphysis of right humerus
RID901,posterior spinal artery arising from medullary artery
RID49198,infrapatellar pad region of apical part of left patella
RID36026,assessment
RID21534,trunk of communicating branch of marginal mandibular branch of facial nerve with mental nerve
RID24030,lateral branch of posterior ramus of left fifth thoracic nerve
RID48554,superficial central part of tendon of left quadriceps femoris
RID42088,right spinoglenoid notch
RID40028,coracoid process proper
RID29095,apophysis
RID23111,c3 root of transverse cervical nerve
RID16582,neural network of left pectoral girdle
RID33176,longitudinal muscle layer of ileum
RID31591,renal surface of adrenal gland
RID50022,segment of central retinal artery
RID26264,brodmann area 39 of left angular gyrus
RID46360,c6 dorsal column nucleus of right axillary nerve
RID24821,t6 branch to iliocostalis lumborum
RID13679,brodmann area 17 of right lingual gyrus
RID26139,brodmann area 30 of posterior cingulate gyrus
RID23885,gray communicating ramus of left fourth sacral nerve
RID27935,nerve to hyoglossus
RID22863,anterior ramus of coccygeal nerve
RID25882,right Brodmann area 38
RID27173,l3 segment of right nucleus proprius of spinal cord
RID44329,postganglionic segment of posterior root of seventh thoracic spinal nerve
RID31089,lamina propria of major calyx
RID32699,internal surface of isthmus of uterine tube
RID10031,root of nose
RID10391,urgent
RID18929,anterior rootlet of right fifth thoracic nerve
RID18700,anterior root of left fourth sacral nerve
RID36001,tributary of great cerebral vein
RID48108,proximal zone of right iliotibial tract
RID12983,internally cooled applicator
RID43552,basal part of right ejaculatory duct
RID36402,supra-optic artery
RID20029,branch of medial pectoral nerve to sternocostal part of pectoralis major
RID16500,set of C8-T1 roots of right brachial nerve plexus
RID13951,left accessory short gyrus
RID18073,left inferior thalamic peduncle
RID12816,IV push infusion
RID21841,trunk of left third cervical nerve
RID32208,lumen of subdivision of inferior minor calyx
RID26166,brodmann area 31 of parietal lobe
RID30742,muscle layer of pyloric antrum
RID32577,visceral abdominal lymphatic vessel
RID40211,muscle body of left trapezius
RID23232,c3 root of left great auricular nerve
RID20019,gray matter of left hemisphere of cerebellum
RID22564,trunk of extensor digitorum brevis branch of lateral terminal branch of left deep fibular nerve
RID10573,oblique plane
RID25404,nerve to right first posterior cervical intertransversarius
RID16469,set of rootlets of eighth thoracic nerve
RID47005,radial nerve component of trunk proper of anterior ramus of eighth cervical nerve
RID50309,PI-RADS 2 - T2WI TZ Low
RID42404,head of first lumbrical of right hand
RID41756,right lesser supraclavicular compartment
RID35917,branch of sphenoid part of middle cerebral artery
RID16055,vasculature of gray matter of C1 segment
RID19266,ependyma of left lateral ventricle
RID159,transverse colon
RID1598,esophageal devascularization procedures
RID1593,endoscopic sclerotherapy
RID1597,portal-systemic shunt surgery
RID1591,esophageal varices therapy
RID1594,variceal banding
RID1590,esophageal replacement with gastric jejunal or colonic graft
RID1595,transjugular intrahepatic portal-systemic shunt
RID1592,balloon tamponade with Sengstaken-Blakemore tube
RID18279,third cervical nerve
RID31189,left diaphragmatic peritoneum
RID16506,set of cranial nerve roots
RID38497,cutaneous branch of lateral branch of dorsal branch of second lumbar artery
RID10641,solenoid coil
RID41179,tendon of left tibialis posterior
RID17329,left medial lemniscus of medulla
RID37819,brodmann area 13 of left temporal lobe
RID30781,back
RID17096,white matter of right anterior transverse temporal gyrus
RID11661,blood pool contrast agent
RID17846,right anterolateral corticospinal tract of spinal cord
RID22935,posterior ramus of third lumbar nerve
RID34233,"middle temporal gyrus, temporoccipital part (TO2)"
RID49689,intermediate elasticity
RID21676,trunk of superior cervical cardiac branch of vagus nerve
RID29408,muscle layer of left intermediate major calyx
RID25383,nerve to left first anterior cervical intertransversarius
RID40117,anterior zone of superior part proper of body of scapula
RID19281,epithelium of choroid plexus of third ventricle
RID41652,tendon of third dorsal interosseous of right foot
RID34672,malignant neoplasm of ureter
RID36773,external pyramidal layer of left primary motor cortex
RID10675,saturation recovery
RID26242,brodmann area 38 of right parahippocampal gyrus
RID26584,posterior long insular gyrus
RID16011,vasculature of white matter of spinal cord
RID19868,ninth thoracic ganglion
RID24164,s4 branch to multifidus
RID23269,anterior cutaneous branch of left seventh intercostal nerve
RID24689,c7 branch to left iliocostalis thoracis
RID19371,neuroglial network of gray matter of C6 segment
RID643,anterior choroidal artery
RID6434,brain
RID6435,prosencephalon
RID6437,telencephalon
RID6433,nervous system
RID6430,end-to-end anastomosis
RID6431,end-to-side anastomosis
RID6432,side-to-side anastomosis
RID16717,neural network of left ventricle
RID24745,t2 branch to iliocostalis cervicis
RID25183,descending branch of meningeal branch of second cervical nerve
RID32092,anterior pancreaticoduodenal lymph node
RID20554,ventral nuclear group of left thalamus
RID37061,internal granular layer of Brodmann area 15
RID34527,segment of ventricular system of brain
RID21180,nucleus of origin
RID37241,lamina of Brodmann area 25
RID16703,neural network of right third metatarsal bone
RID41169,tendon of adductor brevis
RID37036,external granular layer of Brodmann area 14
RID48717,skin of dorsal part of right little toe
RID41222,tendon of left plantaris
RID33535,upper pole of spleen
RID11567,response to embolization
RID27897,upper branch of left internal laryngeal nerve to mucosa of pharynx
RID17288,white matter of left inferior semilunar lobule
RID31566,t8 segment of esophagus
RID26079,brodmann area 23 of posterior cingulate gyrus
RID49056,distal zone of right vastus intermedius
RID49692,fat necrosis
RID18132,hilum of neuraxis
RID27715,nerve to left sternocleidomastoid
RID47990,superior trunk segment of left sixth cervical nerve
RID17806,l1 segment of right lateral corticospinal tract
RID30980,secondary follicle of right ovary
RID12075,zygomaticotemporal branch of zygomatic nerve
RID35406,one-bone-two-bone sign
RID41095,proximal tendon of right teres major
RID16222,set of occipitotectal fibers
RID31053,posterior surface of ascending part of duodenum
RID23292,lateral cutaneous branch of left third intercostal nerve
RID10516,craniocaudal exaggerated laterally projection
RID1,RadLex entity
RID16,teaching descriptor
RID11,exemplary quality
RID13,limited quality
RID14,non-diagnostic quality
RID19,intermediate perceptual difficulty
RID18,basic perceptual difficulty
RID17,perceptual difficulty
RID12,diagnostic quality
RID10,image quality
RID13911,right precentral gyrus
RID45390,peripheral segment of left anococcygeal nerve
RID42642,posterior surface of left teres major
RID34908,set of organ components of heart
RID870,ulnar artery
RID35348,lobster claw
RID45200,right brachial artery
RID24323,c7 branch to multifidus
RID33014,hemiliver
RID7376,gray matter of spinal cord
RID7378,ventral horn of gray matter
RID737,inferior alveolar artery
RID7375,dorsal intermediate sulcus
RID7377,column of gray matter
RID7370,anterior median fissure
RID7371,dorsal median sulcus of spinal cord
RID7374,dorsolateral sulcus of spinal cord
RID7373,ventrolateral sulcus of spinal cord
RID7372,dorsal median septae
RID7379,ventrolateral nucleus of spinal cord
RID15579,cortex of right hemisphere of anterior lobe of cerebellum
RID50360,vascular stent-graft
RID46605,proximal region of muscle body of right vastus lateralis
RID32883,wall of intercalated duct of pancreas
RID27463,l2 segment of left ventral gray column of spinal cord
RID30023,pelvis proper
RID29136,Maisonneuve fracture
RID22796,first intercostal nerve
RID43213,distal region of left infraspinatus
RID18898,root of left sacral nerve
RID27125,thoracic subsegment of nucleus proprius of spinal cord
RID25412,nerve to fourth posterior cervical intertransversarius
RID42143,left interscalene triangle space
RID16903,cutaneous branch of anterior branch of right medial femoral cutaneous nerve
RID41523,tendon of right flexor digitorum superficialis to right ring finger
RID41843,diaphysis of distal phalanx of left middle finger
RID23732,white communicating ramus of lumbar nerve
RID19810,sacral spinal ganglion
RID46336,c5 dorsal column nucleus of right musculocateneous nerve
RID42977,metaphysis of right fourth metacarpal bone
RID39628,medial condyle of left tibia
RID32973,anterior mediastinal space
RID16105,vasculature of white matter of T7 segment
RID39260,patella infera
RID48845,plantar nail matrix of right fourth toe
RID40622,belly of fourth lumbrical of foot
RID23327,collateral branch of first intercostal nerve
RID16702,neural network of third metatarsal bone
RID37443,internal granular layer of left Brodmann area 35
RID41983,surface of distal epiphysis of right humerus
RID28489,cerebral blood volume map
RID48071,posterior cord segment of right first thoracic nerve
RID46855,axillary nerve component of trunk of posterior division of anterior ramus of fifth cervical nerve
RID24417,t4 branch to right spinalis thoracis
RID35720,lumbothoracic vertebral column
RID13189,nerve
RID26027,brodmann area 18 of inferior occipital gyrus
RID33050,right anterior perirenal fat
RID38753,pre-endograft scan
RID30343,portion of secreted substance
RID28946,3 thoracic lymph node
RID28699,short tau inversion recovery
RID36358,left anterior ethmoidal artery
RID36923,external granular layer of right Brodmann area 8
RID37086,multiform layer of Brodmann area 16
RID45750,periosteal reaction
RID36849,external pyramidal layer of Brodmann area 4
RID43647,Leonard George view
RID10121,medial wall of vestibule of bony labyrinth
RID41641,tendon of abductor digiti minimi of hand
RID31545,superior margin of adrenal gland
RID33895,sulcal segment of left inferior occipital lobe
RID23870,gray communicating ramus of fifth lumbar nerve
RID20801,right dorsal paramedian reticular nucleus
RID16180,set of olivospinal fibers
RID24284,c4 branch to multifidus
RID19651,right dorsal longitudinal fasciculus of medulla
RID41893,diaphysis of distal phalanx of big toe
RID35614,target sign of liver
RID39364,region of retina
RID21144,dorsal nucleus of Clarke
RID40403,muscle body of left ischiocavernosus
RID37254,internal pyramidal layer of Brodmann area 25
RID34143,segment of granular layer of dentate gyrus
RID41487,tendon of medial head of right triceps brachii
RID27188,s2 segment of nucleus proprius of spinal cord
RID15494,nerve to abductor digiti minimi of foot
RID11622,gadobenate dimeglumine
RID34037,c6 segment of right anterior corticospinal tract
RID12177,communicating branch of glossopharyngeal nerve with auricular branch of vagus nerve
RID14878,branch to great auricular nerve
RID34631,congenital cardiovascular malformation
RID28837,intralobular lines
RID39661,posterosuperior zone of greater tubercle of left humerus
RID27164,nucleus proprius of lumbar segment of left dorsal gray column of spinal cord
RID40237,muscle body of right infraspinatus
RID31399,set of gastric lymphatic vessels
RID13843,calamus scriptorius
RID11169,nasal
RID16425,set of renal ganglia
RID17408,t10 segment of right dorsal funiculus of spinal cord
RID26905,t2 segment of left substantia gelatinosa
RID26758,multiform layer of right dentate gyrus
